city,cause,year,adthnum,adrate
'akr','death',1987,4408,0.008119374
'akr','death',1988,4437,0.008172791
'akr','death',1989,4381,0.008069641
'akr','death',1990,4370,0.008049379
'akr','death',1991,4583,0.008441718
'akr','death',1992,4624,0.008517238
'akr','death',1993,4766,0.008778797
'akr','death',1994,4538,0.008358829
'akr','death',1995,4855,0.008942732
'akr','death',1996,4715,0.008684857
'akr','death',1997,4761,0.008769587
'akr','death',1998,4781,0.008806426
'akr','death',1999,4885,0.00899799
'akr','death',2000,4960,0.009136138
'albu','death',1987,3213,0.005771739
'albu','death',1988,3234,0.005809463
'albu','death',1989,3451,0.006199275
'albu','death',1990,3314,0.005953172
'albu','death',1991,3440,0.006179515
'albu','death',1992,3357,0.006030416
'albu','death',1993,3599,0.006465138
'albu','death',1994,3778,0.006786688
'albu','death',1995,3740,0.006718426
'albu','death',1996,3827,0.00687471
'albu','death',1997,3853,0.006921416
'albu','death',1998,3869,0.006950158
'albu','death',1999,4030,0.007239374
'albu','death',2000,4028,0.007235781
'anch','death',1987,1822,0.007000073
'anch','death',1988,1815,0.006973179
'anch','death',1989,1804,0.006930918
'anch','death',1990,1798,0.006907866
'anch','death',1991,1814,0.006969337
'anch','death',1992,1808,0.006946285
'anch','death',1993,1751,0.006727293
'anch','death',1994,1760,0.006761871
'anch','death',1995,1782,0.006846394
'anch','death',1996,1766,0.006784923
'anch','death',1997,1767,0.006788765
'anch','death',1998,1766,0.006784923
'anch','death',1999,1777,0.006827184
'anch','death',2000,1803,0.006927076
'arlv','death',1987,791,0.004175178
'arlv','death',1988,789,0.004164621
'arlv','death',1989,795,0.004196291
'arlv','death',1990,780,0.004117116
'arlv','death',1991,752,0.003969322
'arlv','death',1992,748,0.003948209
'arlv','death',1993,856,0.004518271
'arlv','death',1994,796,0.00420157
'arlv','death',1995,847,0.004470766
'arlv','death',1996,805,0.004249075
'arlv','death',1997,780,0.004117116
'arlv','death',1998,791,0.004175178
'arlv','death',1999,788,0.004159343
'arlv','death',2000,785,0.004143508
'atla','death',1987,7885,0.005320976
'atla','death',1988,8143,0.00549508
'atla','death',1989,8316,0.005611825
'atla','death',1990,8082,0.005453916
'atla','death',1991,8209,0.005539618
'atla','death',1992,8228,0.00555244
'atla','death',1993,8808,0.005943837
'atla','death',1994,8614,0.005812922
'atla','death',1995,8946,0.006036963
'atla','death',1996,8813,0.005947211
'atla','death',1997,8493,0.005731268
'atla','death',1998,8543,0.005765009
'atla','death',1999,8446,0.005699551
'atla','death',2000,8543,0.005765009
'aust','death',1987,2682,0.003301817
'aust','death',1988,2784,0.00342739
'aust','death',1989,2821,0.00347294
'aust','death',1990,2889,0.003556655
'aust','death',1991,2916,0.003589895
'aust','death',1992,3001,0.003694539
'aust','death',1993,3202,0.00394199
'aust','death',1994,3213,0.003955533
'aust','death',1995,3347,0.0041205
'aust','death',1996,3234,0.003981386
'aust','death',1997,3396,0.004180824
'aust','death',1998,3322,0.004089723
'aust','death',1999,3524,0.004338405
'aust','death',2000,3586,0.004414734
'bake','death',1987,3292,0.004975478
'bake','death',1988,3360,0.005078252
'bake','death',1989,3423,0.005173469
'bake','death',1990,3456,0.005223345
'bake','death',1991,3574,0.005401688
'bake','death',1992,3496,0.0052838
'bake','death',1993,3722,0.005625373
'bake','death',1994,3524,0.005326119
'bake','death',1995,3823,0.005778023
'bake','death',1996,3862,0.005836967
'bake','death',1997,3834,0.005794648
'bake','death',1998,4067,0.006146801
'bake','death',1999,4130,0.006242018
'bake','death',2000,4100,0.006196676
'balt','death',1987,7713,0.012143512
'balt','death',1988,7918,0.012466268
'balt','death',1989,7703,0.012127767
'balt','death',1990,7719,0.012152958
'balt','death',1991,7587,0.011945135
'balt','death',1992,7568,0.011915221
'balt','death',1993,7662,0.012063216
'balt','death',1994,7589,0.011948283
'balt','death',1995,7552,0.01189003
'balt','death',1996,7248,0.011411406
'balt','death',1997,6818,0.010734405
'balt','death',1998,6658,0.010482497
'balt','death',1999,6738,0.010608451
'balt','death',2000,6453,0.010159741
'batr','death',1987,2475,0.005994884
'batr','death',1988,2574,0.00623468
'batr','death',1989,2605,0.006309767
'batr','death',1990,2593,0.006280701
'batr','death',1991,2613,0.006329145
'batr','death',1992,2635,0.006382432
'batr','death',1993,2786,0.006748181
'batr','death',1994,2713,0.006571362
'batr','death',1995,2882,0.00698071
'batr','death',1996,2748,0.006656138
'batr','death',1997,2918,0.007067908
'batr','death',1998,2925,0.007084863
'batr','death',1999,3089,0.0074821
'batr','death',2000,3059,0.007409435
'bidd','death',1987,2413,0.012921571
'bidd','death',1988,2417,0.012942991
'bidd','death',1989,2450,0.013119705
'bidd','death',1990,2455,0.01314648
'bidd','death',1991,2498,0.013376744
'bidd','death',1992,2482,0.013291065
'bidd','death',1993,2451,0.01312506
'bidd','death',1994,2444,0.013087575
'bidd','death',1995,2466,0.013205385
'bidd','death',1996,2480,0.013280355
'bidd','death',1997,2500,0.013387454
'bidd','death',1998,2467,0.01321074
'bidd','death',1999,2537,0.013585589
'bidd','death',2000,2554,0.013676623
'birm','death',1987,6227,0.009405677
'birm','death',1988,6451,0.009744021
'birm','death',1989,6279,0.009484221
'birm','death',1990,6328,0.009558234
'birm','death',1991,6266,0.009464585
'birm','death',1992,6122,0.009247078
'birm','death',1993,6384,0.00964282
'birm','death',1994,6378,0.009633757
'birm','death',1995,6434,0.009718343
'birm','death',1996,6369,0.009620163
'birm','death',1997,6608,0.009981164
'birm','death',1998,6554,0.009899599
'birm','death',1999,6714,0.010141274
'birm','death',2000,6461,0.009759126
'bost','death',1987,5221,0.007568784
'bost','death',1988,5349,0.007754343
'bost','death',1989,5078,0.007361479
'bost','death',1990,4940,0.007161423
'bost','death',1991,4865,0.007052697
'bost','death',1992,4974,0.007210713
'bost','death',1993,5090,0.007378876
'bost','death',1994,4751,0.006887434
'bost','death',1995,4735,0.006864239
'bost','death',1996,4558,0.006607645
'bost','death',1997,4469,0.006478624
'bost','death',1998,4413,0.006397442
'bost','death',1999,4512,0.00654096
'bost','death',2000,4499,0.006522114
'buff','death',1987,9393,0.009884611
'buff','death',1988,9515,0.010012996
'buff','death',1989,9173,0.009653097
'buff','death',1990,9334,0.009822523
'buff','death',1991,9500,0.009997211
'buff','death',1992,9276,0.009761488
'buff','death',1993,9385,0.009876192
'buff','death',1994,9366,0.009856198
'buff','death',1995,9410,0.009902501
'buff','death',1996,9282,0.009767802
'buff','death',1997,9265,0.009749912
'buff','death',1998,9200,0.00968151
'buff','death',1999,9211,0.009693086
'buff','death',2000,9275,0.009760435
'cayc','death',1987,1238,0.00573111
'cayc','death',1988,1228,0.005684817
'cayc','death',1989,1251,0.005791291
'cayc','death',1990,1264,0.005851473
'cayc','death',1991,1280,0.005925542
'cayc','death',1992,1277,0.005911654
'cayc','death',1993,1314,0.006082939
'cayc','death',1994,1327,0.00614312
'cayc','death',1995,1450,0.006712528
'cayc','death',1996,1427,0.006606053
'cayc','death',1997,1454,0.006731045
'cayc','death',1998,1525,0.007059728
'cayc','death',1999,1530,0.007082874
'cayc','death',2000,1604,0.007425445
'cdrp','death',1987,1917,0.009999948
'cdrp','death',1988,1971,0.010281637
'cdrp','death',1989,1942,0.010130359
'cdrp','death',1990,1987,0.0103651
'cdrp','death',1991,1976,0.010307719
'cdrp','death',1992,2023,0.010552892
'cdrp','death',1993,2023,0.010552892
'cdrp','death',1994,2016,0.010516377
'cdrp','death',1995,2022,0.010547676
'cdrp','death',1996,2044,0.010662438
'cdrp','death',1997,2043,0.010657221
'cdrp','death',1998,2050,0.010693737
'cdrp','death',1999,2083,0.01086588
'cdrp','death',2000,2086,0.010881529
'char','death',1987,3150,0.004529415
'char','death',1988,3268,0.004699089
